Date,Close,High,Low,Open,Volume
,AMD,AMD,AMD,AMD,AMD
2025-01-02,120.62999725341797,123.13999938964844,119.44000244140625,122.29000091552734,34256200
2025-01-03,125.37000274658203,125.55999755859375,121.41999816894531,121.6500015258789,36785300
2025-01-06,129.5500030517578,130.72999572753906,127.36000061035156,129.07000732421875,48020200
2025-01-07,127.33000183105469,131.7100067138672,126.8499984741211,130.50999450683594,39220400
2025-01-08,121.83999633789062,125.30000305175781,120.12000274658203,124.51000213623047,46723100
2025-01-10,116.04000091552734,118.70999908447266,114.44999694824219,118.18000030517578,59415600
2025-01-13,117.31999969482422,117.4800033569336,114.41000366210938,115.27999877929688,39128900
2025-01-14,116.08999633789062,118.66000366210938,114.5,118.0,37005300
2025-01-15,119.95999908447266,120.41999816894531,117.45999908447266,117.55000305175781,38185800
2025-01-16,118.44000244140625,121.08999633789062,118.25,120.23999786376953,29414100
2025-01-17,121.45999908447266,122.73999786376953,120.55000305175781,120.77999877929688,35765900
2025-01-21,122.27999877929688,123.75,121.12000274658203,122.38999938964844,31578800
2025-01-22,123.75,125.6500015258789,121.91000366210938,123.08000183105469,35023800
2025-01-23,123.04000091552734,123.70999908447266,120.62999725341797,121.43000030517578,24921100
2025-01-24,122.83999633789062,125.25,122.2300033569336,124.55000305175781,31570300
2025-01-27,115.01000213623047,118.08000183105469,112.80000305175781,117.80000305175781,61067900
2025-01-28,114.16999816894531,116.1500015258789,112.94999694824219,115.18000030517578,40554800
2025-01-29,117.3499984741211,118.5199966430664,114.95999908447266,115.7699966430664,40199100
2025-01-30,118.86000061035156,120.44000244140625,117.08999633789062,118.52999877929688,29788400
2025-01-31,115.94999694824219,119.56999969482422,115.33000183105469,119.13999938964844,40533600
2025-02-03,114.2699966430664,115.16000366210938,112.9800033569336,113.87999725341797,34586100
2025-02-04,119.5,119.8499984741211,114.79000091552734,115.44999694824219,69412100
2025-02-05,112.01000213623047,112.08999633789062,106.5,107.61000061035156,110385200
2025-02-06,110.16000366210938,112.55999755859375,109.0199966430664,110.93000030517578,50426600
2025-02-07,107.55999755859375,109.91999816894531,106.79000091552734,109.12999725341797,46082500
2025-02-10,110.4800033569336,111.4000015258789,108.1500015258789,108.44000244140625,34905400
2025-02-11,111.0999984741211,113.06999969482422,108.94000244140625,108.9800033569336,35033800
2025-02-12,111.72000122070312,111.83999633789062,109.05999755859375,109.5199966430664,25319700
2025-02-13,111.80999755859375,114.5999984741211,110.4000015258789,112.0,40911800
2025-02-14,113.0999984741211,114.62999725341797,111.69999694824219,112.6500015258789,32477200
2025-02-18,114.27999877929688,115.55000305175781,113.44999694824219,114.05000305175781,31720300
2025-02-19,114.69000244140625,116.11000061035156,113.13999938964844,114.25,28807700
2025-02-20,114.16999816894531,116.55000305175781,113.11000061035156,115.01000213623047,27219600
2025-02-21,110.83999633789062,115.76000213623047,110.43000030517578,114.8499984741211,41353700
2025-02-24,108.11000061035156,111.5999984741211,107.9800033569336,111.48999786376953,29072200
2025-02-25,103.95999908447266,108.63999938964844,103.62000274658203,107.88999938964844,39169200
2025-02-26,104.73999786376953,105.80000305175781,103.98999786376953,104.94999694824219,29178200
2025-02-27,99.51000213623047,105.76000213623047,99.5,105.08000183105469,47263700
2025-02-28,99.86000061035156,101.80000305175781,98.69000244140625,99.55999755859375,45194600
2025-03-03,98.2300033569336,102.33999633789062,97.08999633789062,101.5199966430664,38958000
2025-03-04,100.75,103.18000030517578,95.88999938964844,96.0,54156900
2025-03-05,101.66999816894531,101.83999633789062,98.87000274658203,100.36000061035156,27855500
2025-03-06,98.8499984741211,101.08000183105469,98.2699966430664,99.05000305175781,28985000
2025-03-07,100.30999755859375,100.6500015258789,96.38999938964844,98.87999725341797,33254400
2025-03-10,96.62999725341797,101.29000091552734,95.83000183105469,98.56999969482422,38733200
2025-03-11,96.76000213623047,98.16000366210938,94.7300033569336,96.79000091552734,34078300
2025-03-12,100.79000091552734,101.72000122070312,98.16999816894531,99.05000305175781,34153200
